"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"1","FF",2024-10-05,96.7,-1.94,5.16,"Wheeler, Zack",621438,554430,"field_out","hit_into_play",NA,NA,NA,NA,6,"Tyrone Taylor grounds out, shortstop Trea Turner to first baseman Bryce Harper.","D","R","R","PHI","NYM","X",6,"ground_ball",3,2,2024,-0.92,1.32,0.51,2.51,NA,NA,608385,2,7,"Top",126.99,139.11,NA,NA,NA,NA,8.80524988223591,-140.515055852363,-4.57605677518484,-14.2518325432924,33.301772385402,-13.7835605557223,3.32,1.56,11,91.3,-12,98.4,2390,7.4,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.07,0.14,0.159,0,1,0,0,2,50,7,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",228,0.045,-0.269,68.2,7.2,0.14,0.269,91.3,1,-1,0.749,0.251,34,30,34,30,3,2,7,2,NA,3,1.13,0.92,0.92,23.8
"2","FF",2024-10-05,97.2,-2.03,5.13,"Wheeler, Zack",621438,554430,"","foul",NA,NA,NA,NA,12,"Tyrone Taylor grounds out, shortstop Trea Turner to first baseman Bryce Harper.","D","R","R","PHI","NYM","S",NA,"",3,2,2024,-0.8,1.4,0.13,3.63,NA,NA,608385,2,7,"Top",NA,NA,NA,NA,NA,NA,7.80202105928271,-141.381028692506,-1.74736500712075,-12.5293474703206,31.3246003709846,-13.1177695107747,3.32,1.56,232,79.3,36,99.3,2484,7.4,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.07,NA,NA,NA,NA,NA,NA,NA,50,6,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",228,0,0,69.1,6.9,NA,0,88,1,-1,0.749,0.251,34,30,34,30,3,2,7,2,NA,3,1.01,0.8,0.8,22.8
"3","CU",2024-10-05,83.2,-2.08,5.22,"Wheeler, Zack",621438,554430,"","blocked_ball",NA,NA,NA,NA,14,"Tyrone Taylor grounds out, shortstop Trea Turner to first baseman Bryce Harper.","D","R","R","PHI","NYM","B",NA,"",2,2,2024,0.67,-0.67,2.28,0.44,NA,NA,608385,2,7,"Top",NA,NA,NA,NA,NA,NA,8.7830961576885,-120.902940253585,-3.15109971881231,4.66759862404637,25.4929235089554,-38.2541339978834,3.21,1.57,NA,NA,NA,83.7,2685,6.9,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.6,NA,NA,NA,NA,NA,NA,NA,50,5,"Curveball",1,0,0,1,0,1,0,1,"Standard","Standard",58,0,0.072,NA,NA,NA,-0.072,NA,1,-1,0.749,0.251,34,30,34,30,3,2,7,2,NA,3,3.99,-0.67,-0.67,24
"4","FS",2024-10-05,87.6,-1.98,5.15,"Wheeler, Zack",621438,554430,"","ball",NA,NA,NA,NA,14,"Tyrone Taylor grounds out, shortstop Trea Turner to first baseman Bryce Harper.","D","R","R","PHI","NYM","B",NA,"",1,2,2024,-1.18,0.66,1.17,0.97,NA,NA,608385,2,7,"Top",NA,NA,NA,NA,NA,NA,10.2496500222633,-127.005404496954,-5.34532434778401,-14.9326038782999,27.6174125019012,-24.0683450253291,3.28,1.57,NA,NA,NA,89.1,1586,7.6,775318,592663,547180,681082,664761,607208,669016,679032,592206,52.95,NA,NA,NA,NA,NA,NA,NA,50,4,"Split-Finger",1,0,0,1,0,1,0,1,"Standard","Standard",245,0,0.032,NA,NA,NA,-0.032,NA,1,-1,0.749,0.251,34,30,34,30,3,2,7,2,NA,3,2.35,1.18,1.18,22.8
"5","FF",2024-10-05,96.7,-2.08,5.11,"Wheeler, Zack",621438,554430,"","ball",NA,NA,NA,NA,12,"Tyrone Taylor grounds out, shortstop Trea Turner to first baseman Bryce Harper.","D","R","R","PHI","NYM","B",NA,"",0,2,2024,-1.09,1.32,0.17,3.76,NA,NA,608385,2,7,"Top",NA,NA,NA,NA,NA,NA,8.62700024760145,-140.346926793974,-0.91873284051862,-16.4911203929279,38.0021874176951,-14.9768733300898,3.33,1.57,NA,NA,NA,97.2,2470,7.2,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.31,NA,NA,NA,NA,NA,NA,NA,50,3,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",228,0,0.023,NA,NA,NA,-0.023,NA,1,-1,0.749,0.251,34,30,34,30,3,2,7,2,NA,3,1.17,1.09,1.09,22.1
"6","FF",2024-10-05,97.1,-1.99,5.2,"Wheeler, Zack",621438,554430,"","called_strike",NA,NA,NA,NA,12,"Tyrone Taylor grounds out, shortstop Trea Turner to first baseman Bryce Harper.","D","R","R","PHI","NYM","S",NA,"",0,1,2024,-0.95,1.41,1.01,2.81,NA,NA,608385,2,7,"Top",NA,NA,NA,NA,NA,NA,10.3817079271742,-140.946374921614,-4.10265131483227,-15.1383642999056,34.206402195595,-12.7084826363559,3.38,1.65,NA,NA,NA,98.4,2469,7.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.19,NA,NA,NA,NA,NA,NA,NA,50,2,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",230,0,-0.046,NA,NA,NA,0.046,NA,1,-1,0.749,0.251,34,30,34,30,3,2,7,2,NA,3,1.04,0.95,0.95,23.5
"7","FF",2024-10-05,97.8,-2.02,5.17,"Wheeler, Zack",621438,554430,"","called_strike",NA,NA,NA,NA,3,"Tyrone Taylor grounds out, shortstop Trea Turner to first baseman Bryce Harper.","D","R","R","PHI","NYM","S",NA,"",0,0,2024,-1.1,1.18,0.34,3.06,NA,NA,608385,2,7,"Top",NA,NA,NA,NA,NA,NA,9.06983409002166,-142.127232951474,-2.9070346821037,-17.0328987306237,35.1154718288504,-15.8164763234362,3.28,1.57,NA,NA,NA,99.2,2462,7.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.16,NA,NA,NA,NA,NA,NA,NA,50,1,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",229,0,-0.039,NA,NA,NA,0.039,NA,1,-1,0.749,0.251,34,30,34,30,3,2,7,2,NA,3,1.23,1.1,1.1,21.8
"8","ST",2024-10-05,86,-2.17,5.14,"Wheeler, Zack",516782,554430,"field_out","hit_into_play",NA,NA,NA,NA,6,"Starling Marte pops out to shortstop Trea Turner.","D","R","R","PHI","NYM","X",6,"popup",1,2,2024,0.58,0.16,0.43,2.46,NA,NA,608385,1,7,"Top",102.26,122.34,NA,NA,NA,NA,5.03199292425331,-125.057114001879,-0.337147773255053,4.88162067339707,27.9240598022366,-30.7231495867965,3.52,1.58,202,75.4,50,86.5,2591,6.9,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.58,0.091,0.09,0,1,0,0,3,49,4,"Sweeper",1,0,0,1,0,1,0,1,"Standard","Standard",75,0.055,-0.219,72.4,7.5,0.122,0.219,88,1,-1,0.694,0.306,34,35,34,36,3,2,7,2,NA,1,2.96,-0.58,-0.58,20.1
"9","FF",2024-10-05,97.5,-2.04,5.19,"Wheeler, Zack",516782,554430,"","swinging_strike",NA,NA,NA,NA,2,"Starling Marte pops out to shortstop Trea Turner.","D","R","R","PHI","NYM","S",NA,"",1,1,2024,-0.88,1.37,-0.26,3.38,NA,NA,608385,1,7,"Top",NA,NA,NA,NA,NA,NA,6.97036951689372,-141.783072756422,-2.50452457363613,-13.5042807892114,34.1975291354266,-13.4040738558069,3.52,1.58,NA,NA,NA,99.2,2553,7.4,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.1,NA,NA,NA,NA,NA,NA,NA,49,3,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",229,0,-0.069,65.6,5.3,NA,0.069,NA,1,-1,0.694,0.306,34,35,34,36,3,2,7,2,NA,1,1.04,0.88,0.88,21.8
"10","SI",2024-10-05,95.5,-2.12,5.16,"Wheeler, Zack",516782,554430,"","ball",NA,NA,NA,NA,11,"Starling Marte pops out to shortstop Trea Turner.","D","R","R","PHI","NYM","B",NA,"",0,1,2024,-1.31,0.74,-0.78,3.93,NA,NA,608385,1,7,"Top",NA,NA,NA,NA,NA,NA,6.63677814983517,-138.973023472269,0.722345263124905,-18.4865680088892,30.5458872202733,-22.8925467352361,3.63,1.65,NA,NA,NA,97.6,2245,7.4,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.1,NA,NA,NA,NA,NA,NA,NA,49,2,"Sinker",1,0,0,1,0,1,0,1,"Standard","Standard",230,0,0.035,NA,NA,NA,-0.035,NA,1,-1,0.694,0.306,34,35,34,36,3,2,7,2,NA,1,1.75,1.31,1.31,22.3
